ORDER_ID	PRINT_PROVIDER_ID	PRODUCT_BRAND	PRODUCT_TYPE	ITEM_STATUS	QUANTITY
42103.285	10	Generic brand	Home Decor	shipment_delivered	1
43489.132	10	Generic brand	Home Decor	shipment_delivered	1
43852.10758	10	Generic brand	Home Decor	shipment delivered	2
43852.9528	10	Generic brand	Home Decor	shipment_delivered	1
43852.9748	2	Generic brand	Canvas	shipment_delivered	1
57508.305	42	Galdan	T-Shirt	shipment_in_transit	1
57808.1052	1	Case Mate	Phone Case	shipment_in_transit	1
57808.1052	1	Case Mate	Phone Case	shipment_in_transit	1
57808.1099	10	Generic brand	Home Decor	shipment_delivered	1
57808.1296	42	Bella+Canvas	T-Shirt	shipment_delivered	1
57808.1358	3	Bella+Canvas	Long-sleeve	shipment_delivered	1
57808.1365	1	Case Mate	Phone Case	shipment_delivered	1
60502.7813	10	Generic brand	Bags	shipment_delivered	1
60502.7971	10	Generic brand	All Over Prints	shipment_delivered	1
60502.8205	25	Gildan	Sweatshirt	shipment_delivered	1
60502.8267	39	Gildan	Sweatshirt	shipment_in_transit	1
60502.8331	25	Bella+Canvas	T-Shirt	shipment_in_transit	1
60502.839	10	Generic brand	All Over Prints	shipment_out_for_delivery	1
60502.8491	29	Gildan	Sweatshirt	shipment_delivered	1
60502.8605	29	Gildan	Sweatshirt	shipment_delivered	1
61903.10178	16	Sport-Tek	Hats	shipment_delivered	1
61903.10542	29	Next Level	T-Shirt	shipment_delivered	1
67876.76	39	Gildan	T-Shirt	shipment_delivered	1
70078.78	1	Generic brand	Mug	shipment_delivered	1
71626.1314	25	Delta	Hoodie	shipment_delivered	1
71626.1314	3	Gildan	Sweatshirt	shipment_delivered	1
71728.1952	29	Bella+Canvas	T-Shirt	shipment_delivered	1
71728.1952	29	Bella+Canvas	T-Shirt	shipment_delivered	1
71728.2066	29	Bella+Canvas	T-Shirt	shipment_delivered	1
71728.23	1	Generic brand	Paper products	shipment_delivered	2
71728.2366	1	Generic brand	Paper products	shipment_out_for_delivery	1
71728.2451	29	Bella+Canvas	T-Shirt	shipment_delivered	1
72289.744	25	Next Level	T-Shirt	shipment_out_for_delivery	1
72676.1725	29	Gildan	Sweatshirt	shipment_delivered	1
72676.1725	33	Generic brand	All Over Prints	shipment_delivered	1
72676.1785	29	Gildan	Sweatshirt	shipment_out_for_delivery	1
72676.1837	10	Generic brand	Bags	shipment_delivered	1
72676.1837	10	Generic brand	Bags	shipment delivered	1
72676.1837	10	Generic brand	Bags	shipment_delivered	1
72676.1837	10	Generic brand	Bags	shipment_delivered	1
72676.1837	10	Generic brand	Bags	shipment_delivered	1
72676.1837	10	Generic brand	Bags	shipment_delivered	1
72676.1837	10	Generic brand	Bags	shipment_delivered	1
73270.5578	29	Bella+Canvas	T-Shirt	shipment_delivered	1
73270.5674	41	Bella+Canvas	T-Shirt	shipment_delivered	1
73270.5688	41	Bella+Canvas	T-Shirt	shipment_delivered	1
73270.5887	29	Bella+Canvas	T-Shirt	shipment_delivered	1
73270.6285	29	Bella+Canvas	T-Shirt	shipment_delivered	1
73270.637	29	Bella+Canvas	T-Shirt	shipment_in_transit	1
77290.969	29	Gildan	T-Shirt	shipment_delivered	1
77290.97	39	Gildan	Sweatshirt	shipment_delivered	1
81190.533	10	Generic brand	Bags	shipment_delivered	1
82984.1269	34	Gildan	T-Shirt	fulfilled	1
82984.1269	34	Gildan	T-Shirt	fulfilled	1
82984.1269	34	Gildan	T-Shirt	fulfilled	1
82984.1269	34	Gildan	T-Shirt	fulfilled	1
82984.1322	3	Bella+Canvas	T-Shirt	shipment_delivered	1
87262.17	41	Generic brand	Home Decor	fulfilled	1
87262.17	41	Generic brand	Home Decor	fulfilled	1
87262.17	41	Generic brand	Home Decor	fulfilled	1
87463.46	16	Gildan	Kids clothes	fulfilled	1
88639.284	29	Bella+Canvas	T-Shirt	shipment_delivered	1
90076.143	33	Generic brand	All Over Prints	fulfilled	1
90703.168	29	Gildan	Sweatshirt	shipment_delivered	1
100616.2438	1	Generic brand	Mug	shipment_in_transit	1
100616.2438	1	Generic brand	Mug	shipment_in_transit	1
101921.586	1	Generic brand	Paper products	fulfilled	1
101921.586	2	Generic brand	Poster	fulfilled	1
101921.586	3	Gildan	Hoodie	shipment_delivered	1
101921.624	3	Gildan	Hoodie	shipment_in_transit	1
101921.6495	29	Bella+Canvas	T-Shirt	shipment_delivered	1
101921.6502	29	Bella+Canvas	T-Shirt	shipment delivered	1
104240.29	1	Generic brand	Paper products	shipment_delivered	1
105752.1003	43	Next Level	T-Shirt	shipment_delivered	1
105752.1003	1	Generic brand	Mug	shipment_delivered	1
105752.1004	39	Gildan	Sweatshirt	shipment_delivered	1
105752.1006	10	Generic brand	Accessories	shipment_out_for_delivery	1
105752.1006	3	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1009	1	Generic brand	Paper products	shipment_delivered	1
105752.1009	1	Generic brand	Paper products	shipment_delivered	1
105752.101	1	Generic brand	Paper products	shipment_delivered	1
105752.101	29	Gildan	Sweatshirt	shipment_delivered	1
105752.1011	1	Generic brand	Mug	shipment_delivered	1
105752.1017	41	Generic brand	Home Decor	fulfilled	1
105752.1017	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1017	1	Generic brand	Mug	shipment_delivered	1
105752.1017	1	Generic brand	Paper products	shipment_delivered	1
105752.1017	41	Generic brand	Home Decor	fulfilled	1
105752.1017	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1017	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1019	43	Next Level	T-Shirt	shipment_delivered	1
105752.1019	1	Generic brand	Paper products	shipment_delivered	2
105752.1019	29	Next Level	T-Shirt	shipment delivered	1
105752.1024	41	Generic brand	Home Decor	fulfilled	6
105752.1024	41	Generic brand	Home Decor	fulfilled	5
105752.1027	1	Generic brand	Mug	shipment delivered	4
105752.1027	29	Gildan	Sweatshirt	canceled	1
105752.1027	3	Gildan	Sweatshirt	shipment_delivered	1
105752.1028	1	Generic brand	Mug	shipment_delivered	1
105752.1028	39	Bella+Canvas	T-Shirt	fulfilled	1
105752.1028	16	Next Level	T-Shirt	shipment_delivered	1
105752.1028	16	Next Level	T-Shirt	shipment_delivered	1
105752.103	39	Gildan	Sweatshirt	shipment_delivered	1
105752.1033	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1033	25	Bella+Canvas	Long-sleeve	shipment_delivered	1
105752.1036	10	Generic brand	Accessories	shipment_delivered	1
105752.1036	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1036	39	Gildan	Sweatshirt	shipment_delivered	1
105752.104	25	Bella+Canvas	Long-sleeve	shipment_delivered	1
105752.104	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1042	1	Generic brand	Paper products	shipment_delivered	1
105752.1042	1	Generic brand	Mug	shipment_delivered	1
105752.1042	43	Next Level	Tank Top	shipment_delivered	1
105752.1042	45	Bella+Canvas	Long-sleeve	shipment_delivered	1
105752.1042	42	Next Level	T-Shirt	shipment_delivered	1
105752.1046	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1046	29	Bella+Canvas	T-Shirt	shipment_delivered	1
105752.1046	3	Gildan	Sweatshirt	shipment_delivered	1
105752.1046	1	Generic brand	Paper products	shipment_delivered	1
105752.1046	1	Generic brand	Mug	shipment_delivered	1
105752.1046	16	Generic brand	Hats	shipment_delivered	1
105752.1046	1	Generic brand	Paper products	shipment_delivered	1
105752.1046	3	Gildan	Sweatshirt	shipment_delivered	1
